"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","1959-01",-0.4016064,
"AUT","CPI","TOT","AGRWTH","M","1959-02",-0.501002,
"AUT","CPI","TOT","AGRWTH","M","1959-03",-0.4012036,
"AUT","CPI","TOT","AGRWTH","M","1959-04",-1.283317,
"AUT","CPI","TOT","AGRWTH","M","1959-05",-1.851852,
"AUT","CPI","TOT","AGRWTH","M","1959-06",0.6822612,
"AUT","CPI","TOT","AGRWTH","M","1959-07",1.99005,
"AUT","CPI","TOT","AGRWTH","M","1959-08",2.215508,
"AUT","CPI","TOT","AGRWTH","M","1959-09",2.947155,
"AUT","CPI","TOT","AGRWTH","M","1959-10",2.84264,
"AUT","CPI","TOT","AGRWTH","M","1959-11",3.538928,
"AUT","CPI","TOT","AGRWTH","M","1959-12",3.340081,
"AUT","CPI","TOT","AGRWTH","M","1960-01",2.923387,
"AUT","CPI","TOT","AGRWTH","M","1960-02",2.920443,
"AUT","CPI","TOT","AGRWTH","M","1960-03",3.121853,
"AUT","CPI","TOT","AGRWTH","M","1960-04",2.9,
"AUT","CPI","TOT","AGRWTH","M","1960-05",2.979146,
"AUT","CPI","TOT","AGRWTH","M","1960-06",1.06486,
"AUT","CPI","TOT","AGRWTH","M","1960-07",1.756098,
"AUT","CPI","TOT","AGRWTH","M","1960-08",2.167488,
"AUT","CPI","TOT","AGRWTH","M","1960-09",1.382034,
"AUT","CPI","TOT","AGRWTH","M","1960-10",1.085883,
"AUT","CPI","TOT","AGRWTH","M","1960-11",0.390625,
"AUT","CPI","TOT","AGRWTH","M","1960-12",0.7835456,
"AUT","CPI","TOT","AGRWTH","M","1961-01",2.056807,
"AUT","CPI","TOT","AGRWTH","M","1961-02",2.446184,
"AUT","CPI","TOT","AGRWTH","M","1961-03",2.34375,
"AUT","CPI","TOT","AGRWTH","M","1961-04",2.429543,
"AUT","CPI","TOT","AGRWTH","M","1961-05",2.217936,
"AUT","CPI","TOT","AGRWTH","M","1961-06",3.735632,
"AUT","CPI","TOT","AGRWTH","M","1961-07",3.643337,
"AUT","CPI","TOT","AGRWTH","M","1961-08",3.760849,
"AUT","CPI","TOT","AGRWTH","M","1961-09",4.381694,
"AUT","CPI","TOT","AGRWTH","M","1961-10",4.785156,
"AUT","CPI","TOT","AGRWTH","M","1961-11",5.350194,
"AUT","CPI","TOT","AGRWTH","M","1961-12",5.344995,
