Date,Open,High,Low,Close,Volume,MarketCap,CryptoName,market_billion,Change
2022-04-24,39478.37,39845.92,39233.54,39469.29,17964398167.0,750755023764.0,bitcoin,750.755023764,-0.00022999936420885022
2022-04-23,39738.72,39935.86,39352.2,39486.73,16138021249.0,751045477435.0,bitcoin,751.045477435,-0.006341170525874964
2022-04-22,40525.86,40777.76,39315.42,39740.32,28011716745.0,755827581233.0,bitcoin,755.827581233,-0.01938367254883674
2022-04-21,41371.52,42893.58,40063.83,40527.36,35372786395.0,770762297843.0,bitcoin,770.762297843,-0.020404374796961684
2022-04-20,41501.74,42126.3,40961.1,41374.38,27819532341.0,786828424699.0,bitcoin,786.828424699,-0.003068786995436832
2022-04-19,40828.17,41672.96,40618.63,41502.75,25303206547.0,789227424713.0,bitcoin,789.227424713,0.016522415773227207
2022-04-18,39721.2,40986.32,38696.19,40826.21,33705182072.0,776330593866.0,bitcoin,776.330593866,0.027819149471818627
2022-04-17,40417.78,40570.73,39620.89,39716.95,19087633042.0,755201997823.0,bitcoin,755.201997823,-0.017339646066656847
2022-04-16,40552.32,40633.68,40078.43,40424.48,16833150693.0,768615440640.0,bitcoin,768.61544064,-0.0031524706847844094
2022-04-15,39939.4,40617.72,39866.83,40553.46,21756855753.0,771033872659.0,bitcoin,771.033872659,0.01537479281110877
2022-04-14,41160.22,41451.48,39695.74,39935.52,24342001973.0,759245303311.0,bitcoin,759.245303311,-0.029754457094738666
2022-04-13,40123.57,41430.05,39712.75,41166.73,27691105228.0,782617115810.0,bitcoin,782.61711581,0.025998683566791376
2022-04-12,39533.71,40617.59,39388.33,40127.18,30991500854.0,762819737794.0,bitcoin,762.819737794,0.015011745672237722
2022-04-11,42201.04,42424.59,39373.06,39521.9,33949912166.0,751274786459.0,bitcoin,751.274786459,-0.06348516529450457
2022-04-10,42781.09,43376.38,42021.21,42207.67,17654475582.0,802293412897.0,bitcoin,802.293412897,-0.013403585556141705
2022-04-09,42282.08,42786.82,42183.25,42782.14,16050772496.0,813175789802.0,bitcoin,813.175789802,0.011826759705293535
2022-04-08,43505.14,43903.02,42183.29,42287.66,27215995394.0,803736501494.0,bitcoin,803.736501494,-0.027984739274485634
2022-04-07,43207.5,43860.7,42899.91,43503.85,26101973106.0,826814841543.0,bitcoin,826.814841543,0.006858762946247724
2022-04-06,45544.36,45544.36,43193.95,43206.74,39393395788.0,821131605927.0,bitcoin,821.131605927,-0.05132622348848469
2022-04-05,46624.51,47106.14,45544.81,45555.99,29640604055.0,865734982991.0,bitcoin,865.734982991,-0.022917559884275546
2022-04-04,46445.27,46791.09,45235.82,46622.67,32499785455.0,885964854050.0,bitcoin,885.96485405,0.0038195493319341553
2022-04-03,45859.13,47313.48,45634.1,46453.57,25414397610.0,882703992271.0,bitcoin,882.703992271,0.012962304343758863
2022-04-02,46285.5,47028.28,45782.51,45868.95,29336594194.0,871556728553.0,bitcoin,871.556728553,-0.008999578701753311
2022-04-01,45554.16,46616.24,44403.14,46281.64,38162644287.0,879359612625.0,bitcoin,879.359612625,0.015969562384642717
